ID,Photo,Title,Brand,Price,URL,Currency,Item_Date,Colors,Materials,Styles,Categories
5342575331,https://images1.vinted.net/t/04_00d69_Mtu6xzXPQX34fVbLWN82cykG/f800/1730978740.jpeg?s=6a21ea3e236fbde710d8b191365896ca4782f4a9,Toniebox Rot,Tonies,30.0,https://www.vinted.de/items/5342575331-toniebox-rot,EUR,2024-10-31,,,,
5342593809,https://images1.vinted.net/t/03_024e6_CZvVJj1bmbAagVBNXWsF8Nbb/f800/1730978943.jpeg?s=37ae321a183c00397c1b9595fcc343ce52eefda5,Gefütterte Matschhose,Lupilu,4.0,https://www.vinted.de/items/5342593809-gefutterte-matschhose,EUR,2024-10-31,,,,
5342593308,https://images1.vinted.net/t/01_01da0_aErCd16YCuoZNxWR2nBgFFm3/f800/1730978937.jpeg?s=0dea266dd9c0c462d514306e029da0c929b64289,Bh panty set,Sonstiges,7.0,https://www.vinted.de/items/5342593308-bh-panty-set,EUR,2024-10-31,,,,
5342593726,https://images1.vinted.net/t/02_01a07_qcXeLVUbG93r7fHcBTBT4i3Z/f800/1730978942.jpeg?s=a3af8526bdfb5ba24f12a03baed8aed043272ed7,Greengate Soup Bowl Rarität neu,GREENGATE,25.0,https://www.vinted.de/items/5342593726-greengate-soup-bowl-raritat-neu,EUR,2024-10-31,,,,
5342593540,https://images1.vinted.net/t/03_005cf_rNKK4RxuRqTNHVmNhgwDdQRB/f800/1730978940.jpeg?s=31281f53a8799b3e058f910e170fba5d2819b938,"Leder Stiefeletten,Tobago Outdoor, Gr.37",Tobago,7.0,https://www.vinted.de/items/5342593540-leder-stiefelettentobago-outdoor-gr37,EUR,2024-10-31,,,,
5342593727,https://images1.vinted.net/t/04_02705_zmzdRemc1VrGYXQjmBizLPhd/f800/1730978942.jpeg?s=1f5bcf2b9bbd43e96aa10542215512186d36eb92,Zara Kleid,Zara,10.0,https://www.vinted.de/items/5342593727-zara-kleid,EUR,2024-10-31,,,,
5342593853,https://images1.vinted.net/t/04_01c75_d54C7R4EwyK4ofznCmVetCUs/f800/1730978943.jpeg?s=c0e13608194d692c81b6cd8c55958866d4b64f6e,Wintermützen,Sonstiges,4.0,https://www.vinted.de/items/5342593853-wintermutzen,EUR,2024-10-31,,,,
5342593608,https://images1.vinted.net/t/03_023c5_tF3KoQ288NP1zFJjKGtkhyKP/f800/1730978941.jpeg?s=932058bfade1ef09c438c3d63e3edd067019f06f,TipToi Tasche handmade,Handarbeit,20.0,https://www.vinted.de/items/5342593608-tiptoi-tasche-handmade,EUR,2024-10-31,,,,
5342593663,https://images1.vinted.net/t/03_0199c_HwnnbK6RhW8T3QKSTAuethAW/f800/1730978941.jpeg?s=b4aaeaab00ac38a930a5bfb093aae209db7e50a6,Mütze 92/104 H&M,H&M,2.0,https://www.vinted.de/items/5342593663-mutze-92104-hm,EUR,2024-10-31,,,,
5342593717,https://images1.vinted.net/t/04_015e1_apjAt2vmK6FTBdNzaG3t37Wn/f800/1730978942.jpeg?s=f9e7c45934e9b085a7e25a3031102ba9422b4e7c,Topolino Shorts,Topolino,2.0,https://www.vinted.de/items/5342593717-topolino-shorts,EUR,2024-10-31,,,,
5342593463,https://images1.vinted.net/t/04_00313_iZBzCeWRY5P6T56mrqQ3gzAy/f800/1730978939.jpeg?s=b2add33216ff976ff10bc71c0effe71668110afb,Halskette mit Lebensbaum Anhänger in Silber,Sonstiges,8.0,https://www.vinted.de/items/5342593463-halskette-mit-lebensbaum-anhanger-in-silber,EUR,2024-10-31,,,,
